ActivityDay,Calories
2/23/2023,3238
2/24/2023,3134
2/25/2023,3623
2/26/2023,3504
2/27/2023,3996
2/28/2023,3600
3/1/2023,4196
3/2/2023,3773
3/3/2023,4789
3/4/2023,3740
3/5/2023,3470
3/6/2023,2715
3/7/2023,3990
3/8/2023,3613
3/9/2023,2889
3/10/2023,3603
3/11/2023,3611
3/12/2023,2756
3/13/2023,3310
3/14/2023,4104
3/15/2023,3999
3/16/2023,3224
3/17/2023,3070
3/18/2023,4263
3/19/2023,2717
3/20/2023,3071
3/21/2023,3585
3/22/2023,3541
3/23/2023,3194
3/24/2023,3105
3/25/2023,3648
3/26/2023,2221
3/27/2023,4286
3/28/2023,3512
3/29/2023,3189
3/30/2023,2513
3/31/2023,3637
4/1/2023,3231
4/2/2023,2155
4/3/2023,2407
4/4/2023,1742
4/5/2023,2544
4/6/2023,2608
4/7/2023,1813
4/8/2023,2138
4/9/2023,1739
