ActivityDay,Calories
1/19/2023,2917
1/20/2023,3443
1/21/2023,2929
1/22/2023,3742
1/23/2023,3594
1/24/2023,3090
1/25/2023,2975
1/26/2023,3658
1/27/2023,3329
1/28/2023,3163
1/29/2023,2633
1/30/2023,3077
1/31/2023,3140
2/1/2023,2585
2/2/2023,2969
2/3/2023,2628
2/4/2023,2786
2/5/2023,2880
2/6/2023,3563
2/7/2023,2691
2/8/2023,3269
2/9/2023,3484
2/10/2023,3056
2/11/2023,2651
2/12/2023,2672
2/13/2023,1923
2/14/2023,2604
2/15/2023,1960
2/16/2023,1876
2/17/2023,2428
2/18/2023,3219
2/19/2023,3116
2/20/2023,2880
2/21/2023,2625
2/22/2023,2558
2/23/2023,2462
2/24/2023,3051
2/25/2023,2899
2/26/2023,2584
2/27/2023,3322
2/28/2023,3313
3/1/2023,2604
3/2/2023,2945
3/3/2023,2992
3/4/2023,2762
3/5/2023,3378
3/6/2023,3082
3/7/2023,3489
3/8/2023,2524
3/9/2023,2847
3/10/2023,2942
3/11/2023,2786
3/12/2023,2610
3/13/2023,2702
3/14/2023,2715
3/15/2023,2625
3/16/2023,2517
3/17/2023,3190
3/18/2023,3315
3/19/2023,2918
3/20/2023,3279
3/21/2023,3679
3/22/2023,3475
3/23/2023,3064
3/24/2023,3193
3/25/2023,2684
3/26/2023,3257
3/27/2023,3111
3/28/2023,2644
3/29/2023,2640
3/30/2023,3404
3/31/2023,3057
4/1/2023,3868
4/2/2023,3127
4/3/2023,2981
4/4/2023,2698
4/5/2023,3403
4/6/2023,3159
4/7/2023,2511
4/8/2023,2349
4/9/2023,2895
4/10/2023,3308
4/11/2023,3036
4/12/2023,3499
4/13/2023,3026
4/14/2023,3243
4/15/2023,3457
4/16/2023,2074
4/17/2023,2680
4/18/2023,3044
4/19/2023,2826
4/20/2023,3071
4/21/2023,4081
4/22/2023,3882
4/23/2023,2498
4/24/2023,2691
4/25/2023,2542
4/26/2023,2690
4/27/2023,2732
4/28/2023,3031
4/29/2023,2862
4/30/2023,3502
5/1/2023,3046
5/2/2023,3215
5/3/2023,3317
5/4/2023,3578
5/5/2023,3168
5/6/2023,3401
5/7/2023,2691
5/8/2023,3540
5/9/2023,3039
5/10/2023,3392
5/11/2023,3548
5/12/2023,3187
5/13/2023,3226
5/14/2023,3411
5/15/2023,3296
5/16/2023,2627
5/17/2023,4505
5/18/2023,1483
5/19/2023,1483
5/20/2023,1483
5/21/2023,1483
