ActivityDay,StepTotal
8/20/2022,8882
8/21/2022,11347
8/22/2022,15820
8/23/2022,14179
8/24/2022,8831
8/25/2022,13816
8/26/2022,14641
8/27/2022,4693
8/28/2022,252
8/29/2022,3779
8/30/2022,5109
8/31/2022,10573
9/1/2022,5881
9/2/2022,10293
9/3/2022,7533
9/4/2022,12548
9/5/2022,12377
9/6/2022,14018
9/7/2022,6772
9/8/2022,10168
9/9/2022,8663
9/10/2022,11362
9/11/2022,10441
9/12/2022,17048
9/13/2022,6933
9/14/2022,10138
9/15/2022,10668
9/16/2022,7691
9/17/2022,12127
9/18/2022,7927
9/19/2022,4955
9/20/2022,11729
9/21/2022,11577
9/22/2022,8068
9/23/2022,10225
9/24/2022,7010
9/25/2022,17403
9/26/2022,16341
9/27/2022,9355
9/28/2022,8594
9/29/2022,5808
9/30/2022,5333
10/1/2022,11745
10/2/2022,16234
10/3/2022,5728
10/4/2022,4646
10/5/2022,4608
10/6/2022,2958
10/7/2022,13302
10/8/2022,5659
10/9/2022,358
10/10/2022,1132
10/11/2022,1684
10/12/2022,6213
10/13/2022,3175
10/14/2022,7109
10/15/2022,9376
10/16/2022,7534
10/17/2022,8300
10/18/2022,14936
10/19/2022,7552
10/20/2022,7516
10/21/2022,8347
10/22/2022,7842
10/23/2022,12324
10/24/2022,12958
10/25/2022,16904
10/26/2022,18100
10/27/2022,14206
10/28/2022,14186
10/29/2022,10307
10/30/2022,19030
10/31/2022,8566
11/1/2022,8112
11/2/2022,9062
11/3/2022,4020
11/4/2022,7015
11/5/2022,13122
11/6/2022,7208
11/7/2022,5614
11/8/2022,7470
11/9/2022,11169
11/10/2022,6306
11/11/2022,11267
11/12/2022,8139
11/13/2022,11034
11/14/2022,5241
11/15/2022,15373
11/16/2022,14273
11/17/2022,16859
11/18/2022,9902
11/19/2022,20340
11/20/2022,5059
11/21/2022,5909
11/22/2022,5470
11/23/2022,12340
11/24/2022,8331
11/25/2022,11268
11/26/2022,8198
11/27/2022,10926
11/28/2022,14210
11/29/2022,14197
11/30/2022,4698
12/1/2022,12524
12/2/2022,12589
12/3/2022,6248
12/4/2022,10512
12/5/2022,13293
12/6/2022,10975
12/7/2022,13067
12/8/2022,9420
12/9/2022,14464
12/10/2022,11793
12/11/2022,12985
12/12/2022,15617
12/13/2022,13144
12/14/2022,13640
12/15/2022,9543
12/16/2022,11813
12/17/2022,11454
12/18/2022,12625
12/19/2022,15293
12/20/2022,13283
12/21/2022,11998
12/22/2022,20489
12/23/2022,16442
12/24/2022,8533
12/25/2022,13038
12/26/2022,6177
12/27/2022,9484
12/28/2022,12594
12/29/2022,17314
12/30/2022,14456
12/31/2022,9986
1/1/2023,15527
1/2/2023,9798
1/3/2023,7917
1/4/2023,2664
1/5/2023,0
1/6/2023,0
1/7/2023,0
